Language,Token Length
acu,549795
af,1524874
agr,507462
ake,649613
am,498369
amu,718240
ar,1886666
bg,2885446
bsn,651227
cak,760312
ceb,1965636
ch,292257
chq,387888
chr,145575
cjp,390906
cni,546066
cop,129698
crp,1677630
cs,1500929
da,1389803
de,1437535
dik,414191
dje,1612336
djk,536528
dop,532857
ee,465918
el,3278185
en,1998682
eo,1531714
es,1342846
et,391672
eu,374948
fi,1549056
fr,1453217
gbi,620892
gd,33421
gu,230973
gv,213465
he,1657649
hi,2145881
hr,1409621
hu,1576170
hy,318563
id,1642612
is,1684023
it,1339211
jak,587588
jap,3244236
jiv,431799
kab,433456
kbh,632156
kek,2406214
kn,595402
ko,2355953
la,1139234
lt,1277411
lv,322527
mam,675614
mi,1761848
ml,468055
mr,2558210
my,494862
ne,2502456
nhg,579586
nl,1550702
no,1420889
ojb,171921
pck,1585021
pes,2537628
pl,1690572
plt,1892631
pot,127431
ppk,597389
pt,1417907
quc,600907
quw,364915
ro,1574305
rom,372925
ru,2734342
shi,471180
sk,1509007
sl,1528946
sn,1575342
so,2017418
sq,1660457
sr,1340645
ss,377340
sv,1476121
syr,109728
te,498783
th,1538871
tl,1819216
tmh,164426
tr,1525473
uk,602110
usp,651038
vi,3352156
wal,427982
wo,343773
xh,1593998
zh,2053760
zu,355716
