"","Language","TikToken Token Count","Hugging Transformers Token Count"
"1","af",1346804,1524874
"2","ar",1701897,1886666
"3","bg",1993451,2885446
"4","ceb",1794315,1965636
"5","crp",1728196,1677630
"6","cs",1653132,1500929
"7","da",1250692,1389803
"8","de",1194121,1437535
"9","dje",1658191,1612336
"10","el",3502066,3278185
"11","en",1971543,1998682
"12","eo",1440465,1531714
"13","es",1188688,1342846
"14","et",418860,391672
"15","fi",1578874,1549056
"16","fr",1307467,1453217
"17","he",2054246,1657649
"18","hi",3668091,2145881
"19","hr",1346773,1409621
"20","hu",1672922,1576170
"21","id",1388762,1642612
"22","is",1716707,1684023
"23","it",1221038,1339211
"24","jap",4889498,3244236
"25","kek",2459908,2406214
"26","kn",6843491,595402
"27","ko",1831145,2355953
"28","la",1066698,1139234
"29","lt",1538396,1277411
"30","mi",1766339,1761848
"31","ml",6918377,468055
"32","mr",4214090,2558210
"33","my",8053246,494862
"34","ne",4559783,2502456
"35","nl",1267902,1550702
"36","no",1251400,1420889
"37","pes",2379916,2537628
"38","pl",1496361,1690572
"39","plt",1843215,1892631
"40","pt",1229591,1417907
"41","ro",1621489,1574305
"42","ru",1705619,2734342
"43","sk",1633117,1509007
"44","sl",1479558,1528946
"45","sn",1553811,1575342
"46","so",1952934,2017418
"47","sq",1728073,1660457
"48","sr",1281715,1340645
"49","ss",376012,377340
"50","sv",1421720,1476121
"51","th",8156355,1538871
"52","tl",1717016,1819216
"53","tr",1455688,1525473
"54","vi",4115578,3352156
"55","xh",1578984,1593998
"56","zh",4387037,2053760
