Language,Token Count
af,1346804
ar,1701897
bg,1993451
ceb,1794315
crp,1728196
cs,1653132
da,1250692
de,1194121
dje,1658191
el,3502066
en,1971543
eo,1440465
es,1188688
et,418860
fi,1578874
fr,1307467
he,2054246
hi,3668091
hr,1346773
hu,1672922
id,1388762
is,1716707
it,1221038
jap,4889498
kek,2459908
kn,6843491
ko,1831145
la,1066698
lt,1538396
mi,1766339
ml,6918377
mr,4214090
my,8053246
ne,4559783
nl,1267902
no,1251400
pes,2379916
pl,1496361
plt,1843215
pt,1229591
ro,1621489
ru,1705619
sk,1633117
sl,1479558
sn,1553811
so,1952934
sq,1728073
sr,1281715
ss,376012
sv,1421720
th,8156355
tl,1717016
tr,1455688
vi,4115578
xh,1578984
zh,4387037
